INFO:root:(cmaxime)Running: start_machine        [ exec-time = 9.536 ms ]
INFO:root:(cmaxime)Running: boil_water           [ exec-time = 1.001 ms ]
INFO:root:(cmaxime)Running: boil_water           [ exec-time = 8.106 ms ]
INFO:root:(cmaxime)Running: boil_water           [ exec-time = 8.106 ms ]
INFO:root:(cmaxime)Running: boil_water           [ exec-time = 6.914 ms ]
INFO:root:(cmaxime)Running: boil_water           [ exec-time = 6.914 ms ]
INFO:root:(cmaxime)Running: boil_water           [ exec-time = 6.914 ms ]
INFO:root:(cmaxime)Running: boil_water           [ exec-time = 7.152 ms ]
INFO:root:(cmaxime)Running: boil_water           [ exec-time = 8.106 ms ]
INFO:root:(cmaxime)Running: boil_water           [ exec-time = 6.914 ms ]
INFO:root:(cmaxime)Running: boil_water           [ exec-time = 4.887 ms ]
INFO:root:(cmaxime)Running: boil_water           [ exec-time = 7.867 ms ]
INFO:root:(cmaxime)Running: boil_water           [ exec-time = 8.344 ms ]
INFO:root:(cmaxime)Running: boil_water           [ exec-time = 6.914 ms ]
